CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-1040,Male,0,No,Yes,9,Yes,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),41.95,377.55,Yes
CUST-1041,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),117.45,6224.85,No
CUST-1042,Female,1,No,No,2,No,No,No,No,Yes,Yes,No,Two year,No,Electronic check,97.98,195.96,Yes
CUST-1043,Male,0,Yes,No,60,No,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),31.42,1885.2,No
CUST-1044,Female,0,Yes,No,71,Yes,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,76.58,5437.18,No
CUST-1045,Male,0,No,No,44,Yes,No phone service,No,Yes,Yes,No,No,One year,No,Electronic check,118.54,5215.76,No
CUST-1046,Male,0,Yes,Yes,8,No,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,67.11,536.88,Yes
CUST-1047,Female,0,No,No,47,No,Yes,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,38.21,1795.87,No
CUST-1048,Female,0,No,No,35,No,No,Fiber optic,No,No,No,No,Two year,No,Mailed check,68.48,2396.8,Yes
CUST-1049,Female,1,No,No,36,No,No phone service,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,71.25,2565.0,No
CUST-1050,Female,0,Yes,Yes,50,No,Yes,DSL,No,No,Yes,No,Month-to-month,No,Electronic check,94.17,4708.5,No
CUST-1051,Female,0,No,Yes,4,Yes,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.88,359.52,Yes
CUST-1052,Female,0,No,No,2,No,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,60.26,120.52,Yes
CUST-1053,Female,0,Yes,No,6,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),41.8,250.8,Yes
CUST-1054,Female,1,Yes,No,54,Yes,No,DSL,No,Yes,No,Yes,Two year,No,Mailed check,84.51,4563.54,No
CUST-1055,Male,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,One year,No,Credit card (automatic),62.17,248.68,Yes
CUST-1056,Female,0,Yes,Yes,54,No,Yes,DSL,No,No,No,Yes,Month-to-month,No,Electronic check,33.23,1794.42,No
CUST-1057,Female,0,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Mailed check,110.06,6933.78,No
CUST-1058,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,No,No,One year,No,Electronic check,89.12,1604.16,Yes
CUST-1059,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,One year,No,Credit card (automatic),88.32,3886.08,No
CUST-1060,Male,1,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Electronic check,102.26,3476.84,Yes
CUST-1061,Male,0,Yes,Yes,62,No,No,DSL,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,72.97,4524.14,No
CUST-1062,Female,1,Yes,No,14,No,Yes,DSL,Yes,Yes,No,No,One year,No,Mailed check,101.51,1421.14,Yes
CUST-1063,Male,0,Yes,No,48,Yes,Yes,DSL,No,No,No,Yes,One year,No,Bank transfer (automatic),69.81,3350.88,No
CUST-1064,Female,0,Yes,No,15,Yes,No phone service,Fiber optic,Yes,No,Yes,No,One year,No,Electronic check,26.72,400.8,No
CUST-1065,Male,0,Yes,No,72,No,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),60.52,4357.44,No
CUST-1066,Male,0,No,No,62,No,No phone service,DSL,No,No,Yes,No,One year,Yes,Electronic check,69.75,4324.5,No
CUST-1067,Male,1,Yes,Yes,40,No,No phone service,DSL,No,Yes,No,Yes,One year,Yes,Electronic check,92.02,3680.8,Yes
CUST-1068,Female,0,Yes,Yes,53,Yes,No phone service,DSL,No,No,No,No,Two year,Yes,Bank transfer (automatic),30.66,1624.98,No
CUST-1069,Female,1,Yes,Yes,24,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,34.0,816.0,No
CUST-1070,Male,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),46.37,1205.62,No
CUST-1071,Male,0,No,Yes,60,Yes,No phone service,No,No,Yes,No,No,Month-to-month,No,Mailed check,46.65,2799.0,No
CUST-1072,Female,0,Yes,Yes,41,No,No phone service,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.22,3822.02,Yes
CUST-1073,Female,0,Yes,Yes,29,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,45.07,1307.03,No
CUST-1074,Male,0,Yes,No,15,No,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,83.31,1249.65,Yes
CUST-1075,Male,1,Yes,No,45,Yes,No phone service,DSL,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),69.43,3124.35,No
CUST-1076,Female,0,No,Yes,65,No,No phone service,Fiber optic,Yes,No,Yes,No,Two year,No,Electronic check,77.33,5026.45,No
CUST-1077,Female,0,Yes,No,71,Yes,No,DSL,Yes,No,No,No,Two year,Yes,Credit card (automatic),103.81,7370.51,No
CUST-1078,Female,0,No,Yes,9,Yes,No,DSL,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),60.44,543.96,Yes
CUST-1079,Female,1,Yes,Yes,1,No,Yes,Fiber optic,Yes,No,No,No,One year,Yes,Mailed check,97.09,97.09,Yes
CUST-1080,Female,0,No,Yes,8,No,No,Fiber optic,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),62.2,497.6,Yes
CUST-1081,Male,1,No,Yes,63,No,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.39,3489.57,No
CUST-1082,Female,0,Yes,No,11,No,No,DSL,No,No,Yes,No,One year,No,Electronic check,115.86,1274.46,Yes
CUST-1083,Male,0,Yes,No,8,Yes,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,38.44,307.52,Yes
CUST-1084,Female,0,No,No,35,No,No,No,No,Yes,No,No,Two year,No,Mailed check,29.03,1016.05,No
CUST-1085,Male,0,No,No,35,No,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.1,3398.5,Yes
CUST-1086,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,26.82,885.06,No
CUST-1087,Female,0,No,No,5,No,No,DSL,Yes,No,Yes,No,One year,No,Credit card (automatic),103.71,518.55,Yes
CUST-1088,Male,0,No,Yes,41,No,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),63.72,2612.52,No
CUST-1089,Male,0,No,No,28,Yes,No,No,Yes,No,No,No,Two year,No,Electronic check,111.55,3123.4,Yes
CUST-1090,Female,0,Yes,No,7,No,No phone service,Fiber optic,No,Yes,Yes,Yes,One year,No,Credit card (automatic),92.15,645.05,Yes
CUST-1091,Female,1,No,No,72,No,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),81.04,5834.88,No
CUST-1092,Female,0,No,Yes,12,No,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,114.93,1379.16,Yes
CUST-1093,Female,1,No,Yes,34,No,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.66,2028.44,No
CUST-1094,Female,0,Yes,Yes,33,No,No phone service,No,No,Yes,No,No,One year,No,Mailed check,115.41,3808.53,Yes
CUST-1095,Male,0,Yes,Yes,48,No,No phone service,Fiber optic,No,Yes,Yes,No,Two year,Yes,Electronic check,33.5,1608.0,No
CUST-1096,Male,0,No,No,23,Yes,No phone service,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,68.38,1572.74,No
CUST-1097,Female,0,Yes,Yes,62,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),46.99,2913.38,No
CUST-1098,Male,0,No,Yes,37,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),73.98,2737.26,No
CUST-1099,Male,0,Yes,No,44,Yes,No,DSL,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),36.2,1592.8,No
CUST-1100,Male,0,Yes,No,35,Yes,No phone service,DSL,Yes,No,Yes,Yes,One year,No,Electronic check,104.15,3645.25,Yes
CUST-1101,Female,0,No,Yes,65,Yes,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,104.64,6801.6,No
CUST-1102,Male,0,Yes,No,47,No,No,DSL,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),115.52,5429.44,No
CUST-1103,Female,0,Yes,Yes,3,No,No phone service,DSL,Yes,Yes,No,Yes,Two year,No,Mailed check,35.47,106.41,Yes
CUST-1104,Male,0,Yes,No,1,No,No,DSL,No,Yes,No,No,Month-to-month,No,Electronic check,82.33,82.33,Yes
CUST-1105,Female,0,No,Yes,5,Yes,No,DSL,No,No,Yes,No,One year,No,Credit card (automatic),67.42,337.1,Yes
CUST-1106,Male,1,Yes,Yes,14,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,54.44,762.16,Yes
CUST-1107,Female,1,Yes,Yes,27,No,No,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,55.15,1489.05,Yes
CUST-1108,Female,0,No,Yes,9,No,No,DSL,Yes,Yes,No,Yes,One year,No,Electronic check,61.28,551.52,Yes
CUST-1109,Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),90.49,1357.35,Yes
CUST-1110,Female,0,Yes,No,42,Yes,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),79.83,3352.86,No
CUST-1111,Female,0,Yes,Yes,51,No,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Credit card (automatic),65.97,3364.47,No
CUST-1112,Female,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,27.59,1738.17,No
CUST-1113,Female,0,Yes,Yes,52,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,27.78,1444.56,No
CUST-1114,Female,0,No,Yes,4,No,No,DSL,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),20.23,80.92,No
CUST-1115,Female,0,No,Yes,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,No,Credit card (automatic),116.77,2685.71,Yes
CUST-1116,Female,0,Yes,No,15,Yes,No phone service,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,20.53,307.95,No
CUST-1117,Female,0,Yes,No,43,No,No,DSL,No,Yes,Yes,No,Month-to-month,No,Mailed check,30.31,1303.33,No
CUST-1118,Male,1,Yes,Yes,29,Yes,No phone service,No,No,Yes,Yes,Yes,Two year,No,Mailed check,51.46,1492.34,No
CUST-1119,Male,0,No,No,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),100.74,3626.64,Yes
CUST-1120,Female,0,No,Yes,13,Yes,No,DSL,No,Yes,No,No,Two year,Yes,Mailed check,116.21,1510.73,Yes
CUST-1121,Female,1,Yes,No,32,Yes,No phone service,DSL,No,No,Yes,Yes,One year,No,Credit card (automatic),99.0,3168.0,Yes
CUST-1122,Male,0,Yes,No,71,Yes,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),89.06,6323.26,No
CUST-1123,Male,0,No,Yes,59,Yes,No,DSL,Yes,Yes,No,Yes,Two year,Yes,Mailed check,72.13,4255.67,No
CUST-1124,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),28.67,802.76,No
CUST-1125,Female,0,No,No,66,Yes,No phone service,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,115.82,7644.12,No
CUST-1126,Male,1,No,Yes,42,No,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.84,4025.28,No
CUST-1127,Female,0,Yes,Yes,45,No,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),83.89,3775.05,Yes
CUST-1128,Female,1,No,No,62,No,Yes,DSL,No,Yes,No,Yes,One year,No,Electronic check,95.9,5945.8,No
CUST-1129,Male,0,Yes,No,57,No,Yes,DSL,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),92.41,5267.37,No
CUST-1130,Female,0,Yes,No,6,Yes,No phone service,DSL,No,No,Yes,No,Two year,Yes,Mailed check,83.72,502.32,Yes
CUST-1131,Female,0,Yes,Yes,28,No,No phone service,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Mailed check,118.06,3305.68,Yes
CUST-1132,Female,0,Yes,No,28,No,Yes,DSL,Yes,No,No,Yes,One year,No,Electronic check,110.34,3089.52,Yes
CUST-1133,Female,0,Yes,No,44,Yes,No,Fiber optic,Yes,Yes,No,Yes,One year,No,Mailed check,84.67,3725.48,No
CUST-1134,Male,0,Yes,No,30,Yes,No phone service,DSL,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),89.32,2679.6,Yes
CUST-1135,Male,0,No,Yes,62,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,25.16,1559.92,No
CUST-1136,Female,0,No,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),86.99,5393.38,No
CUST-1137,Female,1,No,Yes,1,Yes,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),24.42,24.42,Yes
CUST-1138,Male,0,No,Yes,27,No,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),78.83,2128.41,Yes
CUST-1139,Female,0,Yes,No,62,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,119.94,7436.28,No
CUST-1140,Male,0,No,Yes,3,No,Yes,Fiber optic,Yes,No,No,Yes,One year,No,Mailed check,75.58,226.74,Yes
CUST-1141,Female,1,No,No,70,No,Yes,DSL,Yes,No,No,No,One year,No,Credit card (automatic),67.32,4712.4,No
CUST-1142,Female,0,No,No,72,Yes,No,DSL,No,No,No,Yes,One year,Yes,Bank transfer (automatic),51.29,3692.88,No
CUST-1143,Male,1,Yes,No,27,No,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),32.05,865.35,No
CUST-1144,Male,0,No,No,9,No,No,DSL,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),93.1,837.9,Yes
CUST-1145,Male,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No,Yes,Two year,Yes,Electronic check,39.26,2434.12,No
CUST-1146,Male,0,No,Yes,37,No,Yes,Fiber optic,No,No,No,No,One year,No,Credit card (automatic),31.53,1166.61,No
CUST-1147,Female,1,Yes,Yes,51,No,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Mailed check,62.18,3171.18,No
CUST-1148,Male,0,Yes,Yes,44,No,No,Fiber optic,Yes,No,No,Yes,One year,No,Electronic check,99.53,4379.32,Yes
CUST-1149,Female,0,No,Yes,24,Yes,Yes,Fiber optic,No,No,Yes,No,One year,No,Bank transfer (automatic),94.51,2268.24,No
CUST-1150,Male,0,Yes,No,59,Yes,No phone service,No,Yes,No,No,Yes,Two year,Yes,Electronic check,25.49,1503.91,No
CUST-1151,Male,0,Yes,Yes,32,Yes,No phone service,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),65.51,2096.32,Yes
CUST-1152,Female,1,No,Yes,52,No,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Electronic check,72.24,3756.48,No
CUST-1153,Male,0,No,Yes,62,Yes,No phone service,DSL,Yes,Yes,Yes,No,One year,No,Electronic check,84.45,5235.9,No
CUST-1154,Male,1,No,Yes,58,No,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),85.02,4931.16,No
CUST-1155,Male,0,Yes,No,52,Yes,No,No,No,No,Yes,Yes,Two year,No,Mailed check,56.47,2936.44,No
CUST-1156,Male,0,Yes,No,12,No,No,Fiber optic,No,No,Yes,Yes,Two year,No,Mailed check,76.07,912.84,Yes
CUST-1157,Female,0,Yes,No,39,Yes,No phone service,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,68.11,2656.29,No
CUST-1158,Female,0,No,No,2,Yes,No,No,No,No,No,No,Two year,Yes,Electronic check,108.5,217.0,Yes
CUST-1159,Male,0,Yes,No,3,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),73.03,219.09,Yes
CUST-1160,Male,0,Yes,Yes,56,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Two year,Yes,Electronic check,64.1,3589.6,No
CUST-1161,Male,0,Yes,No,59,No,No,DSL,No,Yes,Yes,No,One year,Yes,Credit card (automatic),60.45,3566.55,No
CUST-1162,Female,1,Yes,No,2,Yes,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),77.24,154.48,Yes
CUST-1163,Female,1,Yes,No,2,Yes,No phone service,DSL,Yes,Yes,No,No,One year,Yes,Mailed check,100.4,200.8,Yes
CUST-1164,Female,1,Yes,Yes,54,No,No,Fiber optic,Yes,No,Yes,No,One year,Yes,Credit card (automatic),73.84,3987.36,No
CUST-1165,Female,1,Yes,Yes,1,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.17,86.17,Yes
CUST-1166,Male,0,No,No,19,No,No,DSL,Yes,Yes,Yes,No,One year,Yes,Electronic check,93.79,1782.01,Yes
CUST-1167,Male,0,No,Yes,2,Yes,No,DSL,No,No,Yes,Yes,One year,Yes,Mailed check,72.02,144.04,Yes
CUST-1168,Male,0,No,Yes,53,No,Yes,DSL,No,No,No,No,Two year,Yes,Bank transfer (automatic),62.68,3322.04,No
CUST-1169,Female,0,Yes,No,44,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,107.67,4737.48,Yes
CUST-1170,Male,0,Yes,Yes,32,No,No,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),61.75,1976.0,Yes
CUST-1171,Female,0,No,Yes,70,No,No phone service,Fiber optic,Yes,No,No,No,Two year,No,Electronic check,66.19,4633.3,No
CUST-1172,Female,0,Yes,Yes,32,No,No,No,No,No,No,No,Two year,No,Electronic check,119.03,3808.96,Yes
CUST-1173,Male,0,No,No,68,No,No,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,20.02,1361.36,No
CUST-1174,Male,0,Yes,No,55,No,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),38.55,2120.25,No
CUST-1175,Male,0,Yes,No,56,No,No phone service,DSL,No,Yes,No,Yes,One year,Yes,Credit card (automatic),58.4,3270.4,No
CUST-1176,Female,0,No,Yes,17,Yes,No phone service,DSL,No,No,Yes,Yes,Two year,Yes,Mailed check,113.26,1925.42,Yes
CUST-1177,Female,0,No,No,38,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Two year,No,Electronic check,27.0,1026.0,No
CUST-1178,Male,0,No,Yes,24,Yes,No,DSL,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),20.95,502.8,No
CUST-1179,Male,0,No,Yes,69,No,No phone service,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),25.27,1743.63,No
CUST-1180,Female,1,No,Yes,70,No,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,28.85,2019.5,No
CUST-1181,Male,0,Yes,No,11,No,No phone service,DSL,No,No,No,Yes,Month-to-month,No,Electronic check,23.76,261.36,No
CUST-1182,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),67.98,1087.68,Yes
CUST-1183,Female,1,Yes,No,59,Yes,No phone service,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),78.08,4606.72,No
CUST-1184,Male,0,No,No,70,No,No phone service,DSL,Yes,Yes,Yes,Yes,One year,No,Mailed check,47.17,3301.9,No
CUST-1185,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),59.83,179.49,Yes
CUST-1186,Male,0,No,No,20,No,No phone service,DSL,No,No,No,No,Two year,Yes,Credit card (automatic),29.17,583.4,No
CUST-1187,Male,0,No,Yes,59,No,No phone service,DSL,No,Yes,No,Yes,Month-to-month,No,Electronic check,53.64,3164.76,No
CUST-1188,Female,0,No,No,36,Yes,No phone service,DSL,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),72.25,2601.0,Yes
CUST-1189,Female,0,No,No,19,Yes,No,DSL,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),93.23,1771.37,Yes
CUST-1190,Female,1,Yes,No,67,Yes,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),20.33,1362.11,No
CUST-1191,Male,0,Yes,Yes,19,Yes,No phone service,DSL,No,Yes,Yes,No,One year,Yes,Electronic check,66.73,1267.87,Yes
CUST-1192,Female,0,Yes,Yes,20,No,Yes,DSL,Yes,No,No,Yes,One year,Yes,Electronic check,49.7,994.0,Yes
CUST-1193,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,No,Mailed check,105.28,7474.88,No
CUST-1194,Male,0,Yes,Yes,52,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,91.56,4761.12,No
CUST-1195,Male,0,No,Yes,33,No,No phone service,Fiber optic,No,Yes,No,Yes,One year,Yes,Mailed check,78.91,2604.03,Yes
