CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,TechSupport,Churn
CUST1027,Male,59,26,24.33,681.81,Month-to-month,Mailed check,Fiber optic,Yes,No
CUST1028,Male,41,35,43.46,1494.76,Month-to-month,Bank transfer,DSL,No,No
CUST1029,Male,47,53,51.11,2733.37,One year,Bank transfer,DSL,No,Yes
CUST1030,Male,27,15,68.16,997.29,Month-to-month,Credit card,Fiber optic,Yes,No
CUST1031,Female,22,67,63.15,4225.28,Month-to-month,Electronic check,Fiber optic,No internet service,No
CUST1032,Female,59,41,50.51,2031.48,One year,Mailed check,DSL,No internet service,No
CUST1033,Female,47,9,85.28,743.36,Month-to-month,Credit card,Fiber optic,Yes,No
CUST1034,Male,24,36,43.0,1508.46,One year,Credit card,Fiber optic,Yes,No
CUST1035,Male,23,52,102.95,5348.48,Two year,Mailed check,Fiber optic,No,No
CUST1036,Female,25,58,106.25,6209.18,One year,Credit card,Fiber optic,Yes,No
CUST1037,Male,69,10,104.04,1058.96,One year,Electronic check,DSL,No,No
CUST1038,Male,43,30,29.83,905.73,Month-to-month,Mailed check,DSL,Yes,No
CUST1039,Female,35,58,99.25,5720.27,Month-to-month,Mailed check,Fiber optic,Yes,Yes
CUST1040,Male,53,59,96.48,5647.56,Two year,Bank transfer,DSL,No,No
CUST1041,Female,43,31,72.95,2311.12,Month-to-month,Bank transfer,DSL,No internet service,No
CUST1042,Male,53,25,83.82,2099.88,Two year,Credit card,No,No,Yes
CUST1043,Female,58,39,106.01,4132.58,Two year,Electronic check,No,No,No
CUST1044,Female,21,56,25.01,1440.76,Two year,Electronic check,DSL,Yes,No
CUST1045,Female,71,30,59.17,1730.26,Month-to-month,Mailed check,DSL,No internet service,No
CUST1046,Male,30,3,46.12,107.03,Two year,Mailed check,Fiber optic,No internet service,Yes
CUST1047,Male,72,31,57.99,1824.18,One year,Mailed check,DSL,No,No
CUST1048,Male,41,46,25.27,1141.99,One year,Mailed check,Fiber optic,No internet service,No
CUST1049,Male,72,35,88.62,3071.15,Month-to-month,Credit card,Fiber optic,Yes,No
CUST1050,Female,48,13,114.07,1511.58,Month-to-month,Electronic check,Fiber optic,Yes,Yes
CUST1051,Female,39,30,50.81,1568.77,Month-to-month,Mailed check,No,Yes,Yes
CUST1052,Male,57,70,110.63,7730.69,Month-to-month,Mailed check,DSL,No,Yes
CUST1053,Male,35,11,36.41,388.83,One year,Electronic check,No,No,Yes
CUST1054,Female,51,11,34.66,399.12,Month-to-month,Bank transfer,DSL,No,Yes
CUST1055,Male,40,68,74.5,5045.02,Month-to-month,Electronic check,No,Yes,No
CUST1056,Female,56,22,48.12,1069.26,Month-to-month,Mailed check,Fiber optic,No internet service,No
CUST1057,Male,64,69,75.58,5218.51,Month-to-month,Credit card,Fiber optic,Yes,No
CUST1058,Male,54,31,60.35,1871.25,Month-to-month,Bank transfer,DSL,No internet service,Yes
CUST1059,Female,64,31,110.16,3442.9,Month-to-month,Bank transfer,DSL,No internet service,No
CUST1060,Male,18,3,33.64,105.19,One year,Electronic check,DSL,Yes,No
CUST1061,Female,59,35,58.9,2045.51,Month-to-month,Credit card,Fiber optic,Yes,No
CUST1062,Male,37,60,97.26,5839.56,Month-to-month,Electronic check,DSL,No,No
CUST1063,Female,64,10,35.67,392.96,Two year,Bank transfer,No,No internet service,No
CUST1064,Male,42,27,74.63,2042.3,Month-to-month,Electronic check,Fiber optic,No internet service,Yes
CUST1065,Male,23,12,93.13,1154.8,One year,Bank transfer,DSL,No internet service,Yes
CUST1066,Male,69,15,72.27,1054.09,Month-to-month,Credit card,No,No,Yes
CUST1067,Male,47,26,110.3,2913.37,Month-to-month,Bank transfer,No,Yes,No
CUST1068,Female,37,28,64.38,1761.48,One year,Mailed check,DSL,No,No
CUST1069,Male,26,13,45.0,566.33,Month-to-month,Mailed check,Fiber optic,Yes,No
CUST1070,Male,73,44,51.06,2278.44,Month-to-month,Mailed check,DSL,No internet service,Yes
CUST1071,Female,65,38,100.41,3823.42,Two year,Electronic check,DSL,No,No
CUST1072,Female,66,4,103.53,427.32,Two year,Electronic check,Fiber optic,No,No
CUST1073,Female,35,47,92.06,4369.13,Month-to-month,Mailed check,Fiber optic,Yes,Yes
CUST1074,Female,57,8,33.63,252.42,Two year,Bank transfer,Fiber optic,No,No
CUST1075,Male,20,66,69.41,4589.53,Month-to-month,Mailed check,Fiber optic,No internet service,Yes
CUST1076,Male,53,8,96.9,759.83,Two year,Bank transfer,No,No internet service,Yes
CUST1077,Male,23,59,29.97,1808.45,Two year,Credit card,Fiber optic,Yes,No
CUST1078,Male,61,59,67.6,3979.88,Month-to-month,Bank transfer,Fiber optic,Yes,No
CUST1079,Female,55,17,108.07,1837.47,Two year,Bank transfer,DSL,No,No
CUST1080,Female,18,30,32.63,1016.3,Month-to-month,Electronic check,Fiber optic,No,No
CUST1081,Male,36,51,69.27,3561.53,Two year,Bank transfer,DSL,No,No
CUST1082,Male,55,57,36.28,2020.59,Month-to-month,Bank transfer,DSL,No internet service,No
CUST1083,Male,45,10,106.18,1019.56,Month-to-month,Electronic check,Fiber optic,Yes,Yes
CUST1084,Male,64,34,36.99,1217.36,One year,Bank transfer,Fiber optic,Yes,No
CUST1085,Female,26,15,26.29,402.19,One year,Electronic check,Fiber optic,No,No
CUST1086,Male,64,25,40.16,983.73,One year,Mailed check,DSL,No internet service,No
CUST1087,Female,27,14,73.6,992.05,Month-to-month,Mailed check,Fiber optic,No internet service,Yes
CUST1088,Female,41,25,108.08,2711.25,Month-to-month,Credit card,Fiber optic,No internet service,No
CUST1089,Male,43,53,30.34,1592.62,One year,Credit card,DSL,No,No
CUST1090,Female,25,17,119.67,2062.61,One year,Bank transfer,Fiber optic,Yes,No
CUST1091,Female,22,66,115.75,7658.95,Month-to-month,Electronic check,No,No,No
CUST1092,Female,30,48,30.19,1456.42,Two year,Bank transfer,Fiber optic,No,No
CUST1093,Male,39,2,111.16,225.98,Month-to-month,Bank transfer,Fiber optic,No,Yes
CUST1094,Female,51,63,118.77,7490.33,Two year,Bank transfer,Fiber optic,No,No
CUST1095,Female,42,52,115.4,5961.8,Month-to-month,Bank transfer,Fiber optic,No,Yes
CUST1096,Female,40,53,58.72,3095.11,Month-to-month,Bank transfer,No,Yes,Yes
CUST1097,Male,58,27,79.4,2098.04,Month-to-month,Electronic check,DSL,No internet service,No
CUST1098,Male,65,57,30.6,1708.29,Month-to-month,Bank transfer,DSL,No,No
CUST1099,Male,38,23,88.53,1998.36,One year,Bank transfer,Fiber optic,Yes,No
CUST1100,Female,20,61,41.59,2526.06,Month-to-month,Electronic check,No,No,Yes
CUST1101,Male,25,12,34.62,425.92,One year,Electronic check,DSL,Yes,No
CUST1102,Male,63,70,49.0,3393.4,One year,Credit card,No,Yes,No
CUST1103,Female,67,43,61.46,2673.32,Month-to-month,Mailed check,Fiber optic,Yes,Yes
CUST1104,Female,56,24,53.97,1333.3,Month-to-month,Electronic check,Fiber optic,No,Yes
CUST1105,Female,68,57,78.72,4529.51,Two year,Electronic check,Fiber optic,Yes,No
CUST1106,Male,56,25,26.75,664.87,Month-to-month,Mailed check,Fiber optic,No internet service,Yes
CUST1107,Female,39,20,45.99,957.55,One year,Credit card,DSL,Yes,Yes
CUST1108,Female,62,47,60.47,2882.62,Month-to-month,Mailed check,DSL,No internet service,Yes
CUST1109,Male,28,45,77.2,3466.97,One year,Electronic check,DSL,No internet service,No
CUST1110,Male,40,6,64.02,433.2,One year,Mailed check,No,Yes,Yes
CUST1111,Female,66,31,65.11,1975.67,Two year,Credit card,Fiber optic,No internet service,No
CUST1112,Female,33,33,64.22,2090.56,Month-to-month,Mailed check,DSL,No internet service,Yes
CUST1113,Male,69,66,101.55,6707.9,Month-to-month,Electronic check,DSL,No internet service,Yes
CUST1114,Female,68,2,39.58,29.73,One year,Electronic check,DSL,No,No
CUST1115,Female,45,45,109.69,4919.55,Two year,Credit card,No,Yes,No
CUST1116,Female,52,14,54.23,773.85,Month-to-month,Electronic check,DSL,No internet service,No
CUST1117,Female,59,3,111.46,381.95,One year,Electronic check,DSL,No internet service,No
CUST1118,Female,46,12,34.28,444.71,Month-to-month,Credit card,No,No,Yes
CUST1119,Female,73,51,100.04,5144.36,Month-to-month,Bank transfer,DSL,Yes,Yes
CUST1120,Female,55,4,24.16,50.41,One year,Electronic check,Fiber optic,No,Yes
CUST1121,Male,23,5,112.7,520.63,Month-to-month,Credit card,DSL,No internet service,Yes
CUST1122,Female,66,53,117.0,6231.28,Two year,Bank transfer,Fiber optic,Yes,No
CUST1123,Female,31,69,25.08,1737.55,Month-to-month,Mailed check,Fiber optic,Yes,No
CUST1124,Female,46,45,100.29,4503.12,One year,Credit card,No,Yes,No
CUST1125,Female,66,11,35.01,399.13,Month-to-month,Bank transfer,Fiber optic,No,Yes
CUST1126,Male,45,27,87.5,2328.75,Month-to-month,Credit card,No,Yes,Yes
CUST1127,Male,27,3,111.06,305.76,Month-to-month,Bank transfer,DSL,No internet service,Yes
CUST1128,Male,63,21,110.73,2373.28,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes
CUST1129,Female,64,11,41.34,476.16,Two year,Bank transfer,DSL,Yes,Yes
CUST1130,Female,21,28,30.72,908.01,Month-to-month,Bank transfer,Fiber optic,Yes,No
CUST1131,Male,41,29,85.27,2508.62,Two year,Electronic check,DSL,Yes,No
CUST1132,Male,19,44,87.29,3829.97,Two year,Electronic check,No,No,No
CUST1133,Female,63,29,52.31,1561.2,One year,Credit card,Fiber optic,No,No
CUST1134,Female,46,68,118.68,8034.51,One year,Mailed check,Fiber optic,No,Yes
CUST1135,Male,42,24,35.86,832.18,One year,Mailed check,Fiber optic,No,No
CUST1136,Male,48,24,39.19,897.28,Month-to-month,Electronic check,Fiber optic,No internet service,Yes
CUST1137,Male,64,14,64.54,896.05,One year,Bank transfer,DSL,No,No
CUST1138,Female,68,26,78.58,2061.46,Month-to-month,Credit card,No,Yes,No
CUST1139,Male,63,3,104.68,298.62,One year,Mailed check,DSL,Yes,No
CUST1140,Female,32,11,113.95,1268.09,One year,Credit card,Fiber optic,No,No
CUST1141,Female,55,47,21.87,1028.46,Month-to-month,Bank transfer,DSL,No internet service,No
CUST1142,Male,50,50,109.63,5518.74,Month-to-month,Bank transfer,Fiber optic,No internet service,No
CUST1143,Male,67,6,53.62,302.39,Month-to-month,Credit card,DSL,No internet service,No
CUST1144,Female,66,52,31.16,1657.91,Month-to-month,Mailed check,Fiber optic,No,Yes
CUST1145,Male,25,33,52.61,1749.47,Month-to-month,Mailed check,No,No,No
CUST1146,Female,57,17,109.48,1877.82,Two year,Mailed check,DSL,No,Yes
CUST1147,Female,33,40,53.39,2105.13,Month-to-month,Bank transfer,Fiber optic,No,No
CUST1148,Female,55,18,53.62,932.6,Month-to-month,Bank transfer,No,Yes,No
CUST1149,Female,61,44,81.26,3553.46,Month-to-month,Credit card,Fiber optic,Yes,No
CUST1150,Male,58,4,87.19,388.58,Month-to-month,Electronic check,DSL,No internet service,Yes
CUST1151,Female,51,57,72.38,4157.72,Two year,Mailed check,DSL,No internet service,No
CUST1152,Male,23,49,118.7,5846.19,One year,Credit card,Fiber optic,No,No
CUST1153,Female,56,41,116.03,4709.44,One year,Credit card,Fiber optic,No,Yes
CUST1154,Male,57,33,100.33,3335.65,One year,Credit card,DSL,No internet service,No
CUST1155,Male,66,64,97.23,6204.18,Month-to-month,Electronic check,Fiber optic,No,No
CUST1156,Female,40,28,34.8,1023.51,Month-to-month,Credit card,Fiber optic,Yes,Yes
CUST1157,Female,70,52,29.13,1480.21,One year,Bank transfer,DSL,No internet service,No
CUST1158,Male,67,46,116.94,5384.48,Month-to-month,Electronic check,DSL,No internet service,Yes
CUST1159,Female,38,60,27.81,1693.54,Month-to-month,Credit card,Fiber optic,Yes,No
CUST1160,Female,52,40,100.59,4054.46,Month-to-month,Bank transfer,Fiber optic,No,Yes
CUST1161,Female,64,10,24.76,288.49,Month-to-month,Electronic check,Fiber optic,No internet service,Yes
CUST1162,Male,46,54,37.86,2038.88,Month-to-month,Electronic check,DSL,No,No
CUST1163,Female,52,49,61.82,3035.22,One year,Mailed check,DSL,Yes,No
CUST1164,Female,19,44,117.04,5136.22,One year,Electronic check,No,No,Yes
CUST1165,Female,50,28,62.35,1718.48,Month-to-month,Electronic check,No,No internet service,No
CUST1166,Female,43,39,33.81,1366.87,One year,Mailed check,No,Yes,No
CUST1167,Male,61,26,37.42,928.21,Two year,Credit card,Fiber optic,No,Yes
CUST1168,Male,49,1,86.33,63.27,Month-to-month,Mailed check,Fiber optic,Yes,Yes
CUST1169,Female,35,8,117.43,927.51,Month-to-month,Bank transfer,No,Yes,No
CUST1170,Female,51,34,26.23,862.11,Two year,Credit card,DSL,No internet service,No
CUST1171,Male,47,15,107.43,1587.5,Two year,Electronic check,DSL,No,No
CUST1172,Male,61,66,72.64,4756.34,Month-to-month,Mailed check,Fiber optic,No,No
CUST1173,Female,40,12,37.17,443.52,One year,Electronic check,Fiber optic,Yes,No
CUST1174,Male,65,58,77.28,4502.03,One year,Credit card,Fiber optic,No,No
CUST1175,Male,72,18,89.96,1583.81,One year,Bank transfer,DSL,Yes,Yes
CUST1176,Male,37,59,81.18,4804.53,Month-to-month,Electronic check,Fiber optic,Yes,No
CUST1177,Female,63,61,112.54,6825.83,Two year,Electronic check,No,No internet service,Yes
CUST1178,Male,40,7,84.25,593.2,Month-to-month,Bank transfer,DSL,Yes,Yes
CUST1179,Female,57,42,62.02,2626.2,Month-to-month,Bank transfer,Fiber optic,No internet service,No
CUST1180,Female,25,66,49.44,3279.24,One year,Electronic check,Fiber optic,No,No
CUST1181,Male,31,46,59.06,2736.98,Month-to-month,Bank transfer,DSL,No,Yes
CUST1182,Male,40,59,45.86,2729.93,Month-to-month,Bank transfer,DSL,No internet service,No
CUST1183,Male,63,48,62.88,3030.32,Month-to-month,Bank transfer,DSL,Yes,Yes
CUST1184,Female,31,68,55.72,3813.84,Month-to-month,Bank transfer,Fiber optic,Yes,No
CUST1185,Male,19,23,68.63,1536.05,Two year,Bank transfer,Fiber optic,No internet service,No
CUST1186,Male,21,18,26.44,441.78,Two year,Bank transfer,Fiber optic,No,No
CUST1187,Female,41,21,109.52,2276.58,Month-to-month,Mailed check,No,No,Yes
CUST1188,Male,68,14,104.61,1464.91,Two year,Bank transfer,No,Yes,No
CUST1189,Male,53,50,77.27,3874.31,One year,Mailed check,DSL,No internet service,No
CUST1190,Female,26,8,111.12,883.99,Month-to-month,Bank transfer,Fiber optic,No internet service,No
CUST1191,Male,33,4,55.96,182.87,Month-to-month,Mailed check,No,No internet service,No
CUST1192,Male,49,70,101.6,7160.69,One year,Electronic check,No,Yes,No
CUST1193,Female,49,24,38.46,892.12,Month-to-month,Bank transfer,No,No,Yes
CUST1194,Male,44,24,117.14,2821.67,Month-to-month,Mailed check,Fiber optic,Yes,Yes
CUST1195,Male,32,49,58.77,2920.27,Two year,Credit card,Fiber optic,No,No
CUST1196,Male,66,20,78.93,1593.96,Month-to-month,Electronic check,Fiber optic,No internet service,No
CUST1197,Male,21,13,40.09,518.22,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes
CUST1198,Female,53,58,78.72,4595.68,One year,Credit card,Fiber optic,No,No
CUST1199,Male,42,34,42.06,1422.94,One year,Electronic check,Fiber optic,No internet service,No
CUST1200,Female,32,47,106.24,5019.77,Month-to-month,Electronic check,Fiber optic,Yes,No
CUST1201,Female,29,5,111.15,531.36,One year,Credit card,Fiber optic,Yes,No
CUST1202,Male,24,16,34.6,554.63,Month-to-month,Bank transfer,Fiber optic,No internet service,No
CUST1203,Male,53,27,71.99,1925.44,Month-to-month,Electronic check,DSL,Yes,No
CUST1204,Male,41,42,93.13,3897.33,One year,Electronic check,Fiber optic,Yes,Yes
CUST1205,Female,23,60,51.5,3084.13,One year,Bank transfer,Fiber optic,No internet service,No
CUST1206,Male,65,31,61.33,1861.64,Two year,Electronic check,No,Yes,No
CUST1207,Male,58,14,31.02,482.49,Month-to-month,Bank transfer,Fiber optic,Yes,No
CUST1208,Male,62,15,53.29,839.03,Month-to-month,Bank transfer,DSL,Yes,No
CUST1209,Female,48,20,71.81,1434.18,Month-to-month,Credit card,Fiber optic,No,Yes
CUST1210,Male,38,58,94.94,5470.87,Month-to-month,Credit card,DSL,Yes,No
CUST1211,Male,28,28,36.65,989.04,One year,Credit card,No,Yes,No
CUST1212,Male,33,27,99.9,2652.2,Month-to-month,Credit card,DSL,No internet service,No
CUST1213,Female,31,1,41.96,32.24,Two year,Electronic check,No,No internet service,No
CUST1214,Male,42,12,97.03,1200.8,Month-to-month,Bank transfer,DSL,No internet service,No
CUST1215,Female,31,59,37.41,2226.01,Two year,Electronic check,DSL,No internet service,No
CUST1216,Female,55,24,92.15,2236.29,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes
CUST1217,Female,35,23,109.32,2530.13,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes
CUST1218,Female,31,3,37.83,157.13,One year,Credit card,No,No internet service,Yes
CUST1219,Male,41,16,87.47,1387.48,Month-to-month,Mailed check,No,No internet service,No
CUST1220,Female,68,47,72.98,3454.47,One year,Bank transfer,DSL,Yes,Yes
CUST1221,Female,25,66,59.65,3913.81,Month-to-month,Electronic check,DSL,Yes,Yes
CUST1222,Female,62,37,90.53,3367.52,Month-to-month,Bank transfer,Fiber optic,Yes,No
CUST1223,Female,42,3,89.8,290.2,One year,Bank transfer,DSL,Yes,Yes
CUST1224,Male,51,61,53.8,3268.35,Two year,Mailed check,No,No,No
CUST1225,Male,62,12,56.85,669.85,One year,Mailed check,Fiber optic,Yes,No
CUST1226,Female,61,61,96.96,5865.66,Month-to-month,Credit card,DSL,No,No
CUST1227,Female,45,12,99.08,1183.43,Two year,Credit card,No,No,No
CUST1228,Female,41,22,119.32,2613.46,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
CUST1229,Female,35,19,113.97,2192.24,One year,Mailed check,DSL,No internet service,No
CUST1230,Female,74,12,113.33,1398.76,Two year,Mailed check,Fiber optic,Yes,Yes
CUST1231,Male,51,50,113.28,5632.25,Month-to-month,Bank transfer,Fiber optic,No,No
CUST1232,Male,59,23,103.19,2365.18,Two year,Electronic check,DSL,No,No
CUST1233,Female,20,9,86.55,819.54,One year,Mailed check,Fiber optic,No,Yes
CUST1234,Female,29,17,33.15,591.5,One year,Mailed check,DSL,Yes,No
CUST1235,Female,53,2,49.04,52.87,Two year,Mailed check,DSL,Yes,Yes
CUST1236,Male,22,37,112.66,4183.05,Month-to-month,Bank transfer,Fiber optic,No,No
CUST1237,Female,36,61,117.21,7100.44,One year,Credit card,Fiber optic,Yes,No
CUST1238,Male,29,69,94.18,6499.59,Two year,Mailed check,DSL,No,No
CUST1239,Male,44,34,26.15,911.13,Two year,Electronic check,Fiber optic,No,No
CUST1240,Male,34,10,105.44,1055.33,One year,Mailed check,Fiber optic,Yes,Yes
CUST1241,Female,60,2,37.25,83.66,One year,Mailed check,Fiber optic,No,No
CUST1242,Female,45,23,94.22,2203.49,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes
CUST1243,Female,57,3,51.97,130.23,One year,Electronic check,Fiber optic,No,No
CUST1244,Male,39,3,36.54,114.22,One year,Mailed check,DSL,Yes,No
CUST1245,Female,27,63,36.37,2246.48,Month-to-month,Mailed check,Fiber optic,Yes,Yes
CUST1246,Male,58,47,32.52,1505.82,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes
CUST1247,Male,23,53,119.82,6385.11,One year,Electronic check,DSL,No,Yes
CUST1248,Female,34,16,71.77,1166.33,One year,Bank transfer,Fiber optic,No internet service,No
CUST1249,Female,29,30,61.24,1818.99,Month-to-month,Bank transfer,No,No internet service,No
CUST1250,Female,23,13,40.74,484.71,One year,Mailed check,Fiber optic,No internet service,No
CUST1251,Male,60,65,61.68,3975.79,Two year,Electronic check,Fiber optic,No internet service,No
CUST1252,Female,39,68,106.92,7238.97,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
CUST1253,Female,67,60,35.88,2146.2,Month-to-month,Credit card,Fiber optic,No,Yes
CUST1254,Male,33,7,70.37,468.94,One year,Bank transfer,Fiber optic,No internet service,Yes
CUST1255,Male,21,56,73.6,4124.94,Month-to-month,Electronic check,Fiber optic,No internet service,No
CUST1256,Male,42,50,104.92,5208.86,One year,Bank transfer,DSL,Yes,No
CUST1257,Female,50,30,45.58,1334.18,Month-to-month,Electronic check,No,No,No
CUST1258,Male,74,39,47.19,1881.71,Two year,Electronic check,No,No,No
CUST1259,Female,18,63,61.63,3866.75,One year,Bank transfer,No,No,No
CUST1260,Female,32,27,20.98,553.46,Month-to-month,Bank transfer,Fiber optic,No internet service,No
CUST1261,Male,34,14,29.34,437.0,Two year,Credit card,Fiber optic,Yes,No
CUST1262,Male,60,55,89.63,4968.28,Two year,Bank transfer,DSL,No internet service,No
CUST1263,Female,36,40,76.79,3092.9,One year,Bank transfer,Fiber optic,No,No
CUST1264,Female,71,58,26.75,1535.74,One year,Mailed check,No,No internet service,No
CUST1265,Female,67,31,62.91,1964.58,Month-to-month,Credit card,Fiber optic,No internet service,Yes
CUST1266,Female,36,7,62.12,389.42,One year,Electronic check,Fiber optic,No internet service,No
CUST1267,Female,37,66,112.82,7419.36,Two year,Bank transfer,DSL,Yes,No
CUST1268,Male,18,58,84.14,4928.8,One year,Bank transfer,DSL,No,No
CUST1269,Female,40,71,92.9,6588.51,Month-to-month,Credit card,Fiber optic,No,No
CUST1270,Female,33,69,50.44,3454.46,Two year,Mailed check,No,No internet service,No
CUST1271,Female,41,60,42.96,2606.39,Month-to-month,Mailed check,DSL,No internet service,Yes
CUST1272,Male,37,6,117.11,708.46,Two year,Bank transfer,Fiber optic,No internet service,Yes
CUST1273,Female,32,45,50.02,2283.18,Month-to-month,Credit card,DSL,No internet service,Yes
CUST1274,Female,41,48,118.11,5717.49,Month-to-month,Mailed check,DSL,No internet service,Yes
CUST1275,Male,54,41,33.66,1352.6,Month-to-month,Mailed check,Fiber optic,No internet service,Yes
CUST1276,Male,58,63,98.1,6165.43,One year,Electronic check,Fiber optic,No,Yes
CUST1277,Male,50,2,79.8,163.72,Month-to-month,Mailed check,No,Yes,Yes
CUST1278,Female,49,59,108.88,6431.08,Month-to-month,Bank transfer,DSL,No,Yes
CUST1279,Female,73,37,50.82,1898.08,Two year,Electronic check,Fiber optic,No internet service,Yes
CUST1280,Male,48,44,32.29,1449.19,Two year,Bank transfer,No,No internet service,No
CUST1281,Male,32,42,117.91,4993.24,One year,Credit card,Fiber optic,No,Yes
CUST1282,Female,18,44,60.64,2669.99,Two year,Electronic check,Fiber optic,No,No
CUST1283,Male,66,65,66.67,4308.18,Month-to-month,Credit card,DSL,No,No
CUST1284,Male,29,64,72.36,4652.0,One year,Bank transfer,DSL,No,No
CUST1285,Male,52,4,72.9,266.66,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes
CUST1286,Female,54,37,62.4,2308.49,Month-to-month,Mailed check,DSL,Yes,No
CUST1287,Male,65,30,112.07,3366.74,Month-to-month,Electronic check,No,Yes,No
CUST1288,Female,47,46,34.91,1616.82,One year,Mailed check,Fiber optic,No internet service,No
CUST1289,Female,43,30,84.77,2566.45,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
CUST1290,Female,28,58,66.7,3863.2,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes
CUST1291,Male,49,29,95.85,2808.05,Two year,Bank transfer,Fiber optic,No internet service,No
CUST1292,Female,19,67,101.12,6769.13,Month-to-month,Bank transfer,Fiber optic,Yes,No
CUST1293,Female,27,50,52.39,2606.15,One year,Mailed check,Fiber optic,Yes,No
CUST1294,Female,63,3,96.8,271.58,One year,Mailed check,DSL,No internet service,Yes
CUST1295,Male,39,37,54.33,1968.66,One year,Bank transfer,Fiber optic,No internet service,Yes
CUST1296,Male,26,40,55.89,2257.1,Month-to-month,Electronic check,DSL,No,Yes
CUST1297,Male,71,27,114.77,3062.51,Two year,Electronic check,No,Yes,No
CUST1298,Male,72,35,36.01,1214.25,One year,Credit card,Fiber optic,Yes,No
CUST1299,Female,74,59,100.45,5899.79,Two year,Bank transfer,No,Yes,No
CUST1300,Male,47,19,112.31,2105.99,Month-to-month,Electronic check,Fiber optic,No,Yes
CUST1301,Female,70,3,27.06,100.23,Month-to-month,Electronic check,Fiber optic,No,No
CUST1302,Female,42,18,101.42,1856.9,Month-to-month,Mailed check,DSL,No internet service,No
CUST1303,Female,38,15,69.3,1006.21,Two year,Mailed check,No,No,No
CUST1304,Female,35,47,26.37,1237.08,Month-to-month,Mailed check,No,Yes,Yes
CUST1305,Male,37,26,118.19,3082.81,Month-to-month,Bank transfer,No,Yes,Yes
CUST1306,Female,68,41,104.96,4326.73,One year,Bank transfer,DSL,No,No
CUST1307,Female,57,13,40.35,495.49,One year,Bank transfer,DSL,No,No
CUST1308,Female,33,18,114.62,2027.23,One year,Bank transfer,Fiber optic,No,No
CUST1309,Female,66,37,67.45,2491.18,Two year,Bank transfer,DSL,No,No
CUST1310,Female,56,45,25.01,1170.41,One year,Bank transfer,Fiber optic,No,Yes
